,Amplitude,Frequency
0,2.63613e-12,2860000000.0
1,2.62192e-12,2860201342.28188
2,2.90969e-12,2860402684.56376
3,3.01272e-12,2860604026.84564
4,3.21167e-12,2860805369.12752
5,3.43194e-12,2861006711.4094
6,3.83341e-12,2861208053.69128
7,4.04657e-12,2861409395.97315
8,4.20644e-12,2861610738.25503
9,4.38408e-12,2861812080.53691
10,4.47289e-12,2862013422.81879
11,4.71093e-12,2862214765.10067
12,4.94185e-12,2862416107.38255
13,5.27581e-12,2862617449.66443
14,5.49963e-12,2862818791.94631
15,5.63463e-12,2863020134.22819
16,5.97214e-12,2863221476.51007
17,6.33807e-12,2863422818.79195
18,6.65426e-12,2863624161.07383
19,7.11967e-12,2863825503.3557
20,7.6455e-12,2864026845.63758
21,7.99011e-12,2864228187.91946
22,8.41643e-12,2864429530.20134
23,8.72552e-12,2864630872.48322
24,9.1625e-12,2864832214.7651
25,9.93344e-12,2865033557.04698
26,1.04237e-11,2865234899.32886
27,1.11804e-11,2865436241.61074
28,1.20757e-11,2865637583.89262
29,1.29568e-11,2865838926.1745
30,1.36709e-11,2866040268.45638
31,1.4719e-11,2866241610.73826
32,1.59092e-11,2866442953.02013
33,1.7007e-11,2866644295.30201
34,1.84458e-11,2866845637.58389
35,2.00374e-11,2867046979.86577
36,2.16255e-11,2867248322.14765
37,2.33912e-11,2867449664.42953
38,2.51e-11,2867651006.71141
39,2.70967e-11,2867852348.99329
40,2.86385e-11,2868053691.27517
41,2.9772e-11,2868255033.55705
42,3.05074e-11,2868456375.83893
43,3.11291e-11,2868657718.12081
44,3.16798e-11,2868859060.40268
45,3.22375e-11,2869060402.68456
46,3.25111e-11,2869261744.96644
47,3.22766e-11,2869463087.24832
48,3.2035e-11,2869664429.5302
49,3.19178e-11,2869865771.81208
50,3.18006e-11,2870067114.09396
51,3.13209e-11,2870268456.37584
52,3.05997e-11,2870469798.65772
53,2.98714e-11,2870671140.9396
54,2.97329e-11,2870872483.22148
55,3.04221e-11,2871073825.50336
56,3.12144e-11,2871275167.78523
57,3.14666e-11,2871476510.06711
58,3.17686e-11,2871677852.34899
59,3.19462e-11,2871879194.63087
60,3.2035e-11,2872080536.91275
61,3.22162e-11,2872281879.19463
62,3.20635e-11,2872483221.47651
63,3.16762e-11,2872684563.75839
64,3.0923e-11,2872885906.04027
65,3.01592e-11,2873087248.32215
66,2.94309e-11,2873288590.60403
67,2.82904e-11,2873489932.88591
68,2.69297e-11,2873691275.16779
69,2.5235e-11,2873892617.44966
70,2.33308e-11,2874093959.73154
71,2.15438e-11,2874295302.01342
72,1.96857e-11,2874496644.2953
73,1.8119e-11,2874697986.57718
74,1.69323e-11,2874899328.85906
75,1.56676e-11,2875100671.14094
76,1.45022e-11,2875302013.42282
77,1.34791e-11,2875503355.7047
78,1.27223e-11,2875704697.98658
79,1.20473e-11,2875906040.26846
80,1.14362e-11,2876107382.55034
81,1.07115e-11,2876308724.83221
82,1.00578e-11,2876510067.11409
83,9.4183e-12,2876711409.39597
84,8.8996e-12,2876912751.67785
85,8.39157e-12,2877114093.95973
86,7.96169e-12,2877315436.24161
87,7.67036e-12,2877516778.52349
88,7.09835e-12,2877718120.80537
89,6.78571e-12,2877919463.08725
90,6.40557e-12,2878120805.36913
91,6.15333e-12,2878322147.65101
92,5.84069e-12,2878523489.93289
93,5.66305e-12,2878724832.21477
94,5.40726e-12,2878926174.49664
95,5.30068e-12,2879127516.77852
96,4.94896e-12,2879328859.0604
97,4.62921e-12,2879530201.34228
98,4.49776e-12,2879731543.62416
99,4.20644e-12,2879932885.90604
100,4.05723e-12,2880134228.18792
101,3.82275e-12,2880335570.4698
102,3.68419e-12,2880536912.75168
103,3.41417e-12,2880738255.03356
104,3.20811e-12,2880939597.31544
105,2.98785e-12,2881140939.59732
106,2.8031e-12,2881342281.87919
107,2.4656e-12,2881543624.16107
108,2.31638e-12,2881744966.44295
109,2.45139e-12,2881946308.72483
110,2.39454e-12,2882147651.00671
111,1.9398e-12,2882348993.28859
112,1.84387e-12,2882550335.57047
113,1.76571e-12,2882751677.85235
114,1.67334e-12,2882953020.13423
115,1.57741e-12,2883154362.41611
116,1.60583e-12,2883355704.69799
117,1.4957e-12,2883557046.97987
118,1.39267e-12,2883758389.26174
119,1.38201e-12,2883959731.54362
120,1.50636e-12,2884161073.8255
121,1.31451e-12,2884362416.10738
122,1.12977e-12,2884563758.38926
123,1.22569e-12,2884765100.67114
124,1.19372e-12,2884966442.95302
125,1.14043e-12,2885167785.2349
126,1.14753e-12,2885369127.51678
127,1.04806e-12,2885570469.79866
128,1.07648e-12,2885771812.08054
129,1.14398e-12,2885973154.36242
130,8.95287e-13,2886174496.6443
131,8.41997e-13,2886375838.92617
132,8.45549e-13,2886577181.20805
133,9.13054e-13,2886778523.48993
134,9.37923e-13,2886979865.77181
135,7.816e-13,2887181208.05369
136,6.5015e-13,2887382550.33557
137,7.78048e-13,2887583892.61745
138,8.63313e-13,2887785234.89933
139,7.6739e-13,2887986577.18121
140,9.41476e-13,2888187919.46309
141,8.52655e-13,2888389261.74497
142,7.14099e-13,2888590604.02685
143,7.03441e-13,2888791946.30872
144,5.89754e-13,2888993288.5906
145,3.76589e-13,2889194630.87248
146,4.47644e-13,2889395973.15436
147,5.89754e-13,2889597315.43624
148,4.54751e-13,2889798657.71812
149,3.41062e-13,2890000000.0
