,Unnamed: 0,Frequency,Signal,Time
0,0.0,2760000000.0,9.86239e-12,1e-09
1,1.0,2761333333.33333,9.86949e-12,1e-09
2,2.0,2762666666.66667,9.86949e-12,1e-09
3,3.0,2764000000.0,9.86949e-12,1e-09
4,4.0,2765333333.33333,9.86949e-12,1e-09
5,5.0,2766666666.66667,9.89436e-12,1e-09
6,6.0,2768000000.0,9.5462e-12,1e-09
7,7.0,2769333333.33333,9.95476e-12,1e-09
8,8.0,2770666666.66667,9.86949e-12,1e-09
9,9.0,2772000000.0,9.86949e-12,1e-09
10,10.0,2760000000.0,9.82331e-12,1.505e-07
11,11.0,2761333333.33333,9.63857e-12,1.505e-07
12,12.0,2762666666.66667,9.62436e-12,1.505e-07
13,13.0,2764000000.0,9.66699e-12,1.505e-07
14,14.0,2765333333.33333,9.70252e-12,1.505e-07
15,15.0,2766666666.66667,9.67765e-12,1.505e-07
16,16.0,2768000000.0,9.67765e-12,1.505e-07
17,17.0,2769333333.33333,9.69896e-12,1.505e-07
18,18.0,2770666666.66667,9.65988e-12,1.505e-07
19,19.0,2772000000.0,9.71673e-12,1.505e-07
20,20.0,2760000000.0,9.70607e-12,3e-07
21,21.0,2761333333.33333,9.69186e-12,3e-07
22,22.0,2762666666.66667,9.66699e-12,3e-07
23,23.0,2764000000.0,9.71317e-12,3e-07
24,24.0,2765333333.33333,9.6812e-12,3e-07
25,25.0,2766666666.66667,9.64567e-12,3e-07
26,26.0,2768000000.0,9.70252e-12,3e-07
27,27.0,2769333333.33333,9.63502e-12,3e-07
28,28.0,2770666666.66667,9.67409e-12,3e-07
29,29.0,2772000000.0,9.65633e-12,3e-07
30,,2760000000.0,9.78423e-12,3e-06
31,,2761333333.33333,9.79844e-12,3e-06
32,,2762666666.66667,9.78778e-12,3e-06
33,,2764000000.0,9.76647e-12,3e-06
34,,2765333333.33333,9.83397e-12,3e-06
35,,2766666666.66667,9.79489e-12,3e-06
36,,2768000000.0,9.77002e-12,3e-06
37,,2769333333.33333,9.80199e-12,3e-06
38,,2770666666.66667,9.79844e-12,3e-06
39,,2772000000.0,9.79489e-12,3e-06
